src_id	src_name	src_mfn	src_file	src_line	dst_id	dst_name	dst_mfn	dst_file	dst_line
30064771226	unzipSync	zlib:unzipSync	install.js	161	30064771225	<operator>.assignment	<operator>.assignment	install.js	161
30064771230	<operator>.alloc	<operator>.alloc	install.js	163	30064771229	<operator>.assignment	<operator>.assignment	install.js	163
30064771232	<operator>.formatString	<operator>.formatString	install.js	163	30064771231	<operator>.new	<unknownFullName>	install.js	163
30064771234	<operator>.logicalAnd	<operator>.logicalAnd	install.js	163	30064771233	<operator>.logicalOr	<operator>.logicalOr	install.js	163
30064771235	<operator>.fieldAccess	<operator>.fieldAccess	install.js	163	30064771234	<operator>.logicalAnd	<operator>.logicalAnd	install.js	163
30064771239	<operator>.formatString	<operator>.formatString	install.js	167	30064771238	<operator>.assignment	<operator>.assignment	install.js	167
30064771241	<operator>.fieldAccess	<operator>.fieldAccess	install.js	168	30064771240	<operator>.lessThan	<operator>.lessThan	install.js	168
30064771243	str	install.js::program:extractFileFromTarGzip:str	install.js	169	30064771242	<operator>.assignment	<operator>.assignment	install.js	169
30064771245	parseInt	parseInt	install.js	170	30064771244	<operator>.assignment	<operator>.assignment	install.js	170
30064771250	isNaN	isNaN	install.js	172	30064771249	<operator>.logicalNot	<operator>.logicalNot	install.js	172
30064771254	<operator>.addition	<operator>.addition	install.js	173	30064771252	subarray	zlib:unzipSync:<returnValue>:subarray	install.js	173
30064771256	<operator>.and	<operator>.and	install.js	174	30064771255	<operator>.assignmentPlus	<operator>.assignmentPlus	install.js	174
30064771258	<operator>.bitNot	<operator>.bitNot	install.js	174	30064771256	<operator>.and	<operator>.and	install.js	174
30064771261	<operator>.alloc	<operator>.alloc	install.js	177	30064771260	<operator>.assignment	<operator>.assignment	install.js	177
30064771263	<operator>.formatString	<operator>.formatString	install.js	177	30064771262	<operator>.new	<unknownFullName>	install.js	177
30064771267	<operator>.fieldAccess	<operator>.fieldAccess	install.js	180	30064771266	<operator>.spread	<operator>.spread	install.js	180
30064771270	<operator>.void	<operator>.void	install.js	180	30064771268	<operator>.assignment	<operator>.assignment	install.js	180
30064771272	dirname	path:dirname	install.js	181	30064771271	<operator>.assignment	<operator>.assignment	install.js	181
30064771274	resolve	(path2.join(__dirname, "package.json")):<member>(version):resolve	install.js	181	30064771272	dirname	path:dirname	install.js	181
30064771277	join	path:join	install.js	182	30064771276	<operator>.assignment	<operator>.assignment	install.js	182
30064771295	join	path:join	install.js	190	30064771294	<operator>.assignment	<operator>.assignment	install.js	190
30064771301	next	<unknownFullName>	install.js	200	30064771300	<operator>.assignment	<operator>.assignment	install.js	200
30064771304	<operator>.iterator	<operator>.iterator	install.js	200	30064771303	<operator>.assignment	<operator>.assignment	install.js	200
30064771305	readdirSync	fs:readdirSync	install.js	200	30064771304	<operator>.iterator	<operator>.iterator	install.js	200
30064771308	<operator>.fieldAccess	<operator>.fieldAccess	install.js	200	30064771307	<operator>.not	<operator>.not	install.js	200
30064771310	<operator>.fieldAccess	<operator>.fieldAccess	install.js	200	30064771309	<operator>.assignment	<operator>.assignment	install.js	200
30064771312	join	path:join	install.js	201	30064771311	<operator>.assignment	<operator>.assignment	install.js	201
30064771315	lstatSync	fs:lstatSync	install.js	204	30064771314	<operator>.assignment	<operator>.assignment	install.js	204
30064771325	stringify	JSON.stringify	install.js	214	30064771324	<operator>.assignment	<operator>.assignment	install.js	214
30064771328	<operator>.formatString	<operator>.formatString	install.js	215	30064771326	writeFileSync	fs:writeFileSync	install.js	215
30064771330	join	path:join	install.js	218	30064771329	<operator>.assignment	<operator>.assignment	install.js	218
30064771333	readFileSync	fs:readFileSync	install.js	219	30064771332	<operator>.assignment	<operator>.assignment	install.js	219
30064771337	<operator>.formatString	<operator>.formatString	install.js	220	30064771335	writeFileSync	fs:writeFileSync	install.js	220
30064771339	pkgAndSubpathForCurrentPlatform	install.js::program:pkgAndSubpathForCurrentPlatform	install.js	224	30064771338	<operator>.assignment	<operator>.assignment	install.js	224
30064771341	<operator>.fieldAccess	<operator>.fieldAccess	install.js	224	30064771340	<operator>.assignment	<operator>.assignment	install.js	224
30064771343	<operator>.logicalAnd	<operator>.logicalAnd	install.js	225	30064771342	<operator>.logicalAnd	<operator>.logicalAnd	install.js	225
30064771344	<operator>.notEquals	<operator>.notEquals	install.js	225	30064771343	<operator>.logicalAnd	<operator>.logicalAnd	install.js	225
30064771347	<operator>.logicalNot	<operator>.logicalNot	install.js	225	30064771343	<operator>.logicalAnd	<operator>.logicalAnd	install.js	225
30064771348	isYarn	install.js::program:isYarn	install.js	225	30064771347	<operator>.logicalNot	<operator>.logicalNot	install.js	225
30064771349	<operator>.logicalNot	<operator>.logicalNot	install.js	225	30064771342	<operator>.logicalAnd	<operator>.logicalAnd	install.js	225
30064771351	join	path:join	install.js	226	30064771350	<operator>.assignment	<operator>.assignment	install.js	226
30064771361	<operator>.formatString	<operator>.formatString	install.js	237	30064771360	<operator>.assignment	<operator>.assignment	install.js	237
30064771366	<operator>.formatString	<operator>.formatString	install.js	238	30064771364	error	__whatwg.console:error	install.js	238
30064771370	extractFileFromTarGzip	install.js::program:extractFileFromTarGzip	install.js	240	30064771368	writeFileSync	fs:writeFileSync	install.js	240
30064771372	fetch	fetch	install.js	240	30064771371	<operator>.await	<operator>.await	install.js	240
30064771377	<operator>.formatString	<operator>.formatString	install.js	243	30064771375	error	__whatwg.console:error	install.js	243
30064771380	<operator>.logicalAnd	<operator>.logicalAnd	install.js	243	30064771379	<operator>.logicalOr	<operator>.logicalOr	install.js	243
30064771381	<operator>.fieldAccess	<operator>.fieldAccess	install.js	243	30064771380	<operator>.logicalAnd	<operator>.logicalAnd	install.js	243
30064771385	existsSync	fs:existsSync	install.js	249	30064771384	<operator>.logicalNot	<operator>.logicalNot	install.js	249
30064771389	<operator>.formatString	<operator>.formatString	install.js	250	30064771387	warn	__whatwg.console:warn	install.js	250
30064771392	pkgAndSubpathForCurrentPlatform	install.js::program:pkgAndSubpathForCurrentPlatform	install.js	256	30064771391	<operator>.assignment	<operator>.assignment	install.js	256
30064771394	<operator>.fieldAccess	<operator>.fieldAccess	install.js	256	30064771393	<operator>.assignment	<operator>.assignment	install.js	256
30064771396	<operator>.fieldAccess	<operator>.fieldAccess	install.js	256	30064771395	<operator>.assignment	<operator>.assignment	install.js	256
30064771398	resolve	(path2.join(__dirname, "package.json")):<member>(version):resolve	install.js	259	30064771397	<operator>.assignment	<operator>.assignment	install.js	259
